iter	Passed	Remaining
0	48	48621
1	49	24673
2	49	16611
3	50	12570
4	51	10175
5	51	8559
6	52	7402
7	52	6533
8	53	5852
9	53	5307
10	54	4869
11	54	4503
12	55	4190
13	55	3922
14	56	3696
15	56	3498
16	57	3322
17	57	3164
18	58	3022
19	59	2894
20	59	2784
21	60	2683
22	61	2591
23	61	2503
24	62	2423
25	62	2347
26	63	2287
27	64	2227
28	64	2165
29	65	2108
30	65	2053
31	66	2005
32	66	1957
33	67	1914
34	67	1870
35	68	1830
36	68	1793
37	69	1759
38	69	1724
39	70	1694
40	71	1664
41	71	1639
42	72	1611
43	73	1587
44	73	1561
45	74	1536
46	74	1510
47	75	1490
48	75	1469
49	76	1447
50	76	1427
51	77	1409
52	77	1392
53	78	1377
54	79	1360
55	79	1344
56	80	1328
57	80	1313
58	81	1298
59	81	1284
60	82	1269
61	83	1263
62	84	1255
63	84	1242
64	85	1228
65	86	1217
66	86	1205
67	86	1191
68	87	1183
69	88	1173
70	88	1162
71	89	1151
72	89	1141
73	90	1130
74	90	1121
75	91	1112
76	92	1103
77	92	1094
78	93	1085
79	93	1076
80	94	1067
81	94	1058
82	95	1050
83	95	1042
84	95	1032
85	96	1027
86	97	1018
87	97	1010
88	98	1003
89	98	998
90	99	991
91	99	984
92	100	977
93	100	971
94	101	964
95	101	958
96	102	952
97	103	948
98	103	943
99	104	938
100	104	932
101	105	925
102	105	920
103	106	914
104	106	908
105	107	904
106	107	898
107	108	892
108	108	887
109	109	883
110	109	878
111	110	873
112	110	869
113	111	864
114	111	860
115	112	854
116	112	850
117	113	846
118	113	841
119	114	836
120	114	832
121	115	828
122	115	821
123	115	817
124	116	813
125	116	810
126	117	807
127	117	802
128	118	799
129	118	796
130	119	793
131	120	791
132	120	787
133	121	784
134	121	780
135	122	778
136	122	774
137	123	770
138	123	766
139	124	763
140	125	761
141	125	759
142	126	756
143	126	753
144	127	751
145	127	748
146	128	745
147	129	743
148	129	740
149	130	737
150	130	735
151	131	732
152	132	731
153	132	728
154	133	727
155	134	726
156	134	724
157	135	722
158	136	721
159	137	719
160	137	717
161	138	715
162	139	713
163	139	711
164	140	708
165	140	705
166	140	702
167	141	700
168	141	697
169	142	694
170	142	692
171	143	689
172	143	687
173	144	684
174	144	682
175	145	679
176	145	677
177	146	674
178	146	672
179	147	669
180	147	666
181	147	664
182	148	661
183	148	659
184	149	658
185	150	656
186	150	654
187	150	652
188	151	651
189	152	648
190	152	647
191	153	645
192	153	643
193	154	641
194	154	639
195	155	637
196	155	635
197	156	634
198	156	631
199	157	629
200	157	627
201	158	625
202	158	623
203	159	621
204	159	619
205	160	617
206	160	615
207	161	613
208	161	612
209	162	610
210	162	608
211	163	606
212	163	604
213	164	603
214	164	601
215	165	600
216	165	598
217	166	596
218	166	595
219	167	593
220	167	591
221	168	590
222	168	588
223	169	586
224	169	585
225	170	583
226	171	583
227	171	582
228	172	580
229	173	579
230	173	577
231	174	576
232	174	574
233	175	572
234	175	571
235	176	569
236	176	568
237	177	566
238	177	565
239	177	563
240	178	561
241	179	560
242	179	559
243	180	558
244	180	556
245	181	555
246	181	553
247	182	552
248	182	550
249	183	549
250	183	547
251	184	546
252	184	544
253	185	543
254	185	541
255	185	540
256	186	538
257	187	538
258	187	537
259	188	536
260	188	534
261	189	533
262	189	532
263	190	530
264	191	529
265	191	528
266	192	527
267	192	525
268	192	524
269	193	522
270	193	521
271	194	521
272	195	520
273	195	518
274	196	517
275	196	516
276	197	515
277	197	513
278	198	512
279	198	511
280	199	509
281	199	508
282	200	507
283	200	505
284	201	504
285	201	503
286	202	502
287	202	501
288	203	500
289	204	499
290	204	498
291	205	497
292	205	496
293	206	494
294	206	493
295	207	492
296	207	491
297	207	489
298	208	488
299	208	487
300	209	485
301	209	484
302	210	484
303	211	483
304	211	482
305	212	481
306	212	480
307	213	478
308	213	477
309	214	476
310	214	475
311	215	474
312	215	473
313	216	472
314	216	470
315	217	469
316	217	468
317	217	467
318	218	466
319	218	465
320	219	464
321	219	462
322	220	461
323	220	460
324	221	459
325	221	458
326	222	457
327	222	456
328	223	454
329	223	453
330	223	452
331	224	451
332	224	450
333	225	449
334	225	448
335	226	447
336	226	446
337	227	445
338	227	444
339	228	443
340	228	442
341	229	441
342	229	440
343	230	439
344	230	438
345	231	437
346	232	436
347	232	435
348	233	435
349	233	434
350	234	433
351	234	432
352	235	431
353	235	430
354	236	429
355	236	428
356	237	427
357	237	426
358	238	424
359	238	423
360	238	422
361	239	421
362	239	420
363	240	419
364	240	419
365	241	418
366	241	417
367	242	416
368	243	415
369	243	414
370	244	413
371	244	413
372	245	412
373	245	411
374	246	410
375	246	409
376	247	408
377	247	407
378	247	406
379	248	405
380	249	404
381	249	403
382	250	402
383	250	401
384	251	400
385	251	400
386	251	399
387	252	398
388	252	397
389	253	396
390	253	395
391	254	394
392	254	393
393	255	392
394	255	391
395	256	391
396	257	390
397	257	389
398	258	388
399	258	388
400	259	387
401	259	386
402	260	385
403	260	384
404	261	383
405	261	383
406	262	382
407	262	381
408	263	380
409	263	379
410	263	378
411	264	377
412	265	376
413	265	376
414	266	375
415	266	374
416	267	373
417	267	372
418	268	371
419	268	370
420	268	369
421	269	369
422	270	368
423	270	367
424	271	366
425	271	366
426	272	365
427	273	365
428	273	364
429	274	363
430	274	362
431	275	361
432	275	360
433	276	360
434	276	359
435	277	358
436	277	357
437	278	356
438	278	356
439	279	355
440	279	354
441	280	354
442	281	353
443	281	352
444	282	351
445	282	351
446	283	350
447	283	349
448	284	348
449	284	347
450	285	346
451	285	346
452	286	345
453	286	344
454	287	344
455	287	343
456	288	342
457	288	341
458	289	340
459	289	340
460	290	339
461	290	338
462	291	337
463	291	336
464	292	336
465	292	335
466	293	334
467	293	333
468	294	332
469	294	332
470	294	331
471	295	330
472	295	329
473	296	328
474	296	328
475	297	327
476	297	326
477	298	325
478	298	324
479	299	324
480	299	323
481	300	322
482	300	321
483	301	321
484	301	320
485	302	319
486	302	319
487	303	318
488	304	317
489	304	317
490	305	316
491	305	315
492	306	315
493	306	314
494	307	313
495	308	313
496	308	312
497	309	311
498	309	311
499	310	310
500	310	309
501	311	308
502	311	308
503	312	307
504	313	306
505	313	306
506	314	305
507	314	304
508	315	304
509	317	305
510	318	305
511	319	304
512	320	304
513	321	303
514	321	303
515	322	302
516	322	301
517	323	300
518	323	300
519	324	299
520	324	298
521	325	297
522	325	297
523	326	296
524	326	295
525	327	294
526	327	294
527	328	293
528	328	292
529	328	291
530	329	290
531	329	290
532	330	289
533	330	288
534	331	287
535	331	287
536	332	286
537	332	285
538	333	284
539	333	284
540	333	283
541	334	282
542	334	281
543	335	281
544	335	280
545	336	279
546	336	278
547	337	278
548	338	277
549	338	277
550	339	276
551	339	275
552	340	275
553	340	274
554	341	273
555	342	273
556	342	272
557	343	271
558	343	271
559	344	270
560	344	269
561	345	269
562	345	268
563	346	267
564	346	266
565	346	266
566	347	265
567	347	264
568	348	263
569	348	263
570	349	262
571	349	261
572	350	261
573	350	260
574	351	259
575	351	258
576	352	258
577	352	257
578	353	256
579	353	256
580	354	255
581	354	254
582	355	253
583	355	253
584	356	252
585	356	251
586	356	251
587	357	250
588	357	249
589	358	249
590	358	248
591	359	247
592	359	246
593	360	246
594	360	245
595	361	244
596	361	244
597	362	243
598	362	242
599	363	242
600	363	241
601	364	240
